entity,frequency
scientist,44
acalabrutinib,3642
patient,8849
relapsed,216
refractory,650
ibrutinib,4141
intolerant,67
response rate,101
phase,192
trial,628
recruitment,15
phase study,258
venetoclax,2131
mcl,63
non respondent,1
therapy,833
nice back astrazenecas,1
data,804
haematologica,11
treatment,4906
chronic lymphocytic leukemia,13823
lymsm lymphoma,105
nice back,7
calquence,1939
england,3
decision,33
wale info,1
chemotherapy,273
free,96
monotherapy,195
chronic lymphocytic leukaemia,521
oncology drugapprovals pharma,1
healthnews,6
superstar,1
tobyeyre82,22
excellent,106
news,820
fcr,168
drug,388
drug pirtobrutinib,1
relapse,1575
clinicaltrials,96
optimal,62
management,203
high risk,464
speaker,35
mumbai,1
group,190
pune chair advani mumbai,1
moderator,3
national institute,1
health care,25
excellence,12
recommendation,66
adult,675
17p deletion,36
tp53,199
mutation 17p deletion,3
mutation fludarabine plus cyclophosphamide,1
rituximab,1201
bendamustine,267
brand,24
oral treatment,18
daily,15
tablet,35
untreated,426
blood cancer,320
recommend,11
article,615
patient relapse,101
hematology,1867
target,970
oral monotherapy,2
clinicalresearchnews,1
biotechnews,1
ireland,53
fall,5
janrynne,26
hselive davidcullinane hsenccp,1
paulreiddublin ipposi,1
paulmcauliffe roisinshortall,1
nicecomms,12
leukaemia,233
indication,139
daiichisankyo cholesterol lower drug nilemdo,1
nustendi,1
heor,6
cllsupport chair,1
bloodcancer,126
safety,315
antitumor,30
cell malignancy japanese,2
phase study lymphoma,3
lymsm,874
zuma,5
mantel cell lymphoma,1
morphology,8
btki,86
exposure,41
subgroup,18
clinical,380
kte,4
commercial,8
lady,6
nurse,72
clinical trial,498
ublituximab,215
solidarity,22
astra zeneca test cancer,1
immune system,61
investigator,31
treatment protocol,1
medicine company,1
green light,225
icymi,123
ash20,273
tip,34
poster,99
presentation,158
study,871
combination,411
cell malignancy,74
dlbcl,62
iqvia,2
rds argentina representa argentina,1
janssen vaccine,1
amgen inc,1
apremilast,1
lanadelumab,1
abatacept remdesivir,1
infliximab,1
mesilato,1
cenicriviroc,1
maria,4
inspection,1
approval,481
leadership,5
team,132
chronic lymphocytic leukemia lymphoma,67
cd20,6
btk inhibitor,562
obinutuzumab,961
benefit,273
17p tgtherapeutics anthonymatomd,1
primario,1
comparaci,1
physician,49
impressive,57
efficacy,583
tolerability,149
clinical development,7
research,729
analysis,183
cardiovascular,20
compare,157
standard,24
chronic lymphocytic,97
medivizor leukemia,484
survival,292
discontinuation,93
mantle cell lymphoma,257
rarecancer,1
tctm21,3
chronicgvhd,1
itinib,1
oral,147
treatment market,1
user application hospital,1
market,430
data depth,1
review,270
hta,1
national centre,1
pharmacoeconomics,1
ndigen beitrag unter arzt,1
schmerz,1
leuk mie,47
zulassung studie,1
video,872
calquencehcp,4
sll,602
medtwitter,10
healthcare,63
interview graff,1
landscape,236
year,653
watch,6
phase trial investigator,1
pfs,306
treat,1498
leusm,789
chronic lymphocytic medivizor leukemia,10
head head trial,22
japan,8
chronicillness digitalhealth lyfebulb,1
noninferior,3
progression,375
incidence,88
leukemia,1225
drug safer imbruvica,10
overall,28
primary endpoint,29
non inferior pfs,1
ammh,1
mato,11
findrugs,1
innovation,43
informationpatient matologie,1
head head study,2
side effect,176
associated,1
cardiac issue,1
stroke,6
impact,383
cart therapy,3
cell lymphoma,229
alive,15
cohort,43
failure,32
atrial fibrillation,40
non,44
pharma marketer,1
january,31
covid19 boostershot calquence merck statnews,1
mmmnews,1
cnbc,3
johnson amp johnson,4
btk inhibitor imbruvica head head phase,2
abbv,121
pharma,95
calquence lymphoma mantle cell lymphoma,1
drug imbruvica,2
pharmaphorum,5
outcome,252
european medicine,10
agency review,2
report,104
calquence top imbruvica chronic lymphocytic leukaemia,4
primario efficacia nello studio testa testa,2
prtimes,3
calquence safety,6
imbruvica leukemia,6
monday,15
comirnaty provisional,1
authorization,4
albireo iterum,1
abbvie,459
blockbuster imbruvica,1
biopharma dive,3
pharmatopnews,3
jain american,1
journal hematology,1
online library,20
topline,23
randomize,16
phase elevate trial,1
astrazeneca,15
neuro,3
competitiveintelligence,20
productmarketing,4
pharmaceutical healthcare,4
biotech,68
jnj,17
effective,404
johnson amp johnson imbruvica,1
late stage study,4
azn,103
positive,239
phase result,1
lilly heels,1
lilly heel,1
limit treatment time,1
people,414
brief astrazeneca,8
lymphocytic leukaemia,6
awesomecapital,9
